"user_id","date","price","item_name"
1050188,2015-06-24,8064,"item1"
1060071,2015-06-23,5760,"item2"
1060071,2015-06-23,2880,"item3"
1060131,2015-06-17,10080,"item1"
1060342,2015-06-16,7776,"item4"
1060342,2015-06-16,8064,"item1"
1060877,2015-06-25,11520,"item5"
1060877,2015-06-25,1728,"item6"
1060877,2015-06-25,2304,"item7"
1060877,2015-06-25,7200,"item8"
1061095,2015-06-05,3456,"item6"
1061656,2015-06-10,8064,"item1"
1061661,2015-06-01,8064,"item1"
1061713,2015-06-08,4608,"item7"
1070009,2015-06-23,7200,"item8"
1070109,2015-06-09,5760,"item2"
1070109,2015-06-09,6480,"item9"
1070109,2015-06-09,8640,"item3"
1070109,2015-06-09,10800,"item10"
1070317,2015-06-09,10080,"item1"
1070421,2015-06-23,8640,"item11"
1070421,2015-06-23,11520,"item7"
1070421,2015-06-23,2160,"item10"
1070421,2015-06-23,3456,"item6"
1070421,2015-06-23,2160,"item9"
1070421,2015-06-23,9504,"item12"
1080410,2015-06-23,10368,"item4"
1080410,2015-06-23,8064,"item1"
1090017,2015-06-03,4320,"item13"
1090017,2015-06-03,3600,"item14"
1090017,2015-06-03,4032,"item1"
1090017,2015-06-03,3600,"item15"
1090045,2015-06-24,8064,"item1"
1090179,2015-06-10,3600,"item16"
1090229,2015-06-17,3600,"item8"
1090244,2015-06-10,3600,"item15"
1090244,2015-06-10,3600,"item14"
1090244,2015-06-10,3168,"item12"
1090245,2015-06-17,3600,"item8"
1090245,2015-06-17,4320,"item16"
1090273,2015-06-09,3600,"item14"
1090273,2015-06-09,4320,"item13"
1090273,2015-06-09,4320,"item16"
1090287,2015-06-02,2160,"item9"
1090287,2015-06-02,2880,"item17"
1090287,2015-06-02,2160,"item10"
1090287,2015-06-02,1728,"item6"
1100025,2015-06-09,1728,"item6"
1100025,2015-06-09,2304,"item7"
1100139,2015-06-16,3600,"item16"
1100345,2015-06-15,6048,"item1"
1100345,2015-06-15,4320,"item13"
1100359,2015-06-09,3600,"item16"
1100391,2015-06-16,2016,"item1"
1100391,2015-06-16,7200,"item14"
1100443,2015-06-29,4032,"item1"
1100443,2015-06-29,4320,"item16"
1100546,2015-06-08,1728,"item6"
